#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=4147 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:115 out:117 type:b dur:2 cpbdur:2 q:31.05 aq:26.80 tex:38061 mv:32249 misc:8154 imb:536 pmb:3378 smb:4246 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:31.07 aq:26.96 tex:37327 mv:29867 misc:8086 imb:476 pmb:3333 smb:4351 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:31.06 aq:25.63 tex:159856 mv:63375 misc:3689 imb:3645 pmb:3727 smb:788 d:s ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:31.07 aq:27.22 tex:83712 mv:37311 misc:7761 imb:553 pmb:4730 smb:2877 d:s ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:31.07 aq:26.88 tex:40530 mv:32123 misc:8195 imb:653 pmb:3369 smb:4138 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:31.06 aq:26.81 tex:42927 mv:33000 misc:8225 imb:678 pmb:3439 smb:4043 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:31.03 aq:25.48 tex:212432 mv:69183 misc:2553 imb:4376 pmb:3318 smb:466 d:s ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:31.04 aq:26.19 tex:73673 mv:51671 misc:7520 imb:1120 pmb:4306 smb:2734 d:s ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:31.05 aq:26.91 tex:42404 mv:35404 misc:8176 imb:630 pmb:3505 smb:4025 d:s ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:31.03 aq:26.76 tex:43295 mv:34801 misc:8160 imb:702 pmb:3506 smb:3952 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:31.06 aq:25.57 tex:174202 mv:65394 misc:3140 imb:3955 pmb:3578 smb:627 d:s ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:31.04 aq:26.11 tex:76005 mv:50104 misc:7323 imb:1184 pmb:4437 smb:2539 d:s ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:31.03 aq:26.92 tex:40111 mv:33961 misc:8152 imb:643 pmb:3465 smb:4052 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:31.05 aq:26.81 tex:40470 mv:32754 misc:8032 imb:652 pmb:3454 smb:4054 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:31.05 aq:25.66 tex:177194 mv:65918 misc:3296 imb:3861 pmb:3610 smb:689 d:s ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:31.05 aq:26.06 tex:70750 mv:49666 misc:7432 imb:1051 pmb:4499 smb:2610 d:s ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:31.06 aq:26.85 tex:39369 mv:33056 misc:8095 imb:649 pmb:3406 smb:4105 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:31.05 aq:26.83 tex:40048 mv:32239 misc:8145 imb:587 pmb:3460 smb:4113 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:31.03 aq:26.08 tex:171006 mv:64616 misc:3458 imb:3621 pmb:3779 smb:760 d:s ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:31.04 aq:26.17 tex:81400 mv:48146 misc:7254 imb:1070 pmb:4663 smb:2427 d:s ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:31.04 aq:27.78 tex:56599 mv:28757 misc:8148 imb:365 pmb:4172 smb:3623 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:31.03 aq:27.09 tex:40605 mv:30522 misc:8129 imb:535 pmb:3514 smb:4111 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:31.03 aq:25.38 tex:192314 mv:71171 misc:1027 imb:4216 pmb:3898 smb:46 d:s ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:31.03 aq:26.13 tex:84720 mv:55009 misc:6567 imb:1344 pmb:4921 smb:1895 d:s ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:31.03 aq:27.20 tex:78998 mv:64642 misc:5848 imb:1998 pmb:4578 smb:1584 d:s ref:0 ;
